qSpecies_string,resolved_to,rule,authority,note
Carpinus betulus 'Lucas' - 'Lucas' European hornbeam,Carpinus betulus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Halesia carolina 'Arnold Pink' - 'Arnold Pink' Carolina silverbell tree,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Phellodendron amurense 'Eye Stopper' - 'Eye Stopper' Amur cork tree,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Ilex x meserveae 'Blue Princess' - 'Blue Princess' Meserve holly,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Carpinus betulus 'Franz Fontaine' - 'Franz Fontaine' European hornbeam,Carpinus betulus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pyrus calleryana 'Stone Hill' - 'Stone Hill' Callery pear,Pyrus calleryana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cercis canadensis 'Crosswicks Red' - 'Crosswicks Red' Eastern redbud,Cercis canadensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Acer tataricum 'Flame' - 'Flame' Tatarian maple,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Acer saccharum 'Autumn Splendor' - 'Autumn Splendor' Sugar maple,Acer saccharum,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Pseudolarix amabilis - Golden Larch,,unmapped (accepted),ITIS TSN 822567,accepted taxon absent from the corpus; the build mints it
Edgeworthia chrysantha - Oriental paperbush,,unmapped (accepted),ITIS TSN 512730,accepted taxon absent from the corpus; the build mints it
Amelanchier laevis 'Spring Flurry' - 'Spring Flurry' Allegheny serviceberry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Camellia japonica - camellia,,unmapped (accepted),ITIS TSN 506117,accepted taxon absent from the corpus; the build mints it
Prunus cerasus - Sour Cherry,,unmapped (accepted),ITIS TSN 24773,accepted taxon absent from the corpus; the build mints it
Larix kaempferi - Japanese larch,,unmapped (accepted),ITIS TSN 506606,accepted taxon absent from the corpus; the build mints it
Tamarix chinensis - five-stamen tamarisk,,unmapped (accepted),ITIS TSN 22308,accepted taxon absent from the corpus; the build mints it
Quercus garryana - Oregon white oak,,unmapped (accepted),ITIS TSN 19340,accepted taxon absent from the corpus; the build mints it
Pinus cembra - Swiss stone pine,,unmapped (accepted),ITIS TSN 506605,accepted taxon absent from the corpus; the build mints it
Catalpa ovata - Chinese catalpa,,unmapped (accepted),ITIS TSN 34314,accepted taxon absent from the corpus; the build mints it
Malus 'Lolipop' - 'Lolipop' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Prunus padus 'Summer Glow' - 'Summer Glow' European bird cherry,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Tilia cordata 'Unizam' - 'Unizam' Littleleaf linden,Tilia cordata,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus robur 'Skyrocket' - 'Skyrocket' English oak,Quercus robur,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus 'Profusion' - 'Profusion' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Halesia tetraptera var. monticola - Mountain silverbell,,unmapped (synonym),ITIS TSN 528316,Halesia carolina
Thuja occidentalis 'Hetz Wintergreen' - 'Hetz Wintergreen' Arborvitae,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Pyrus calleryana 'Silver Ball' - 'Silver Ball' Callery pear,Pyrus calleryana,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus 'Lancelot' - 'Lancelot' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus 'Pink Spire' - 'Pink Spire' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cornus florida 'Cherokee Sunset' - 'Cherokee Sunset' Flowering dogwood,Cornus florida,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cornus florida 'Appalachian Spring' - 'Appalachian Spring' Flowering dogwood,Cornus florida,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Cornus kousa 'Summer Stars' - 'Summer Stars' Dogwood,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Pinus taeda - loblolly pine,,unmapped (accepted),ITIS TSN 18037,accepted taxon absent from the corpus; the build mints it
Magnolia 'Elizabeth' - 'Elizabeth' Magnolia,Magnolia,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Halesia carolina 'Jersey Belle' - 'Jersey Belle' Carolina silverbell tree,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Sorbus aucuparia 'Cardinal Royal' - 'Cardinal Royal' Mountain ash,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Fagus sylvatica f. purpurea - Copper beech,Fagus sylvatica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Malus 'Dolgo' - 'Dolgo' Crabapple,Malus,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Quercus x comptoniae - Compton oak,,unmapped (accepted),ITIS TSN 19315,accepted taxon absent from the corpus; the build mints it
Chaenomeles speciosa - Flowering quince,,unmapped (accepted),ITIS TSN 508022,accepted taxon absent from the corpus; the build mints it
Cercis canadensis 'Hearts of Gold' - 'Hearts of Gold' Eastern redbud,Cercis canadensis,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Myrica pensylvanica - Northern bayberry,,unmapped (synonym),ITIS TSN 19262,Morella pensylvanica
Aesculus pavia - Red buckeye,,unmapped (accepted),ITIS TSN 28723,accepted taxon absent from the corpus; the build mints it
Parrotia persica 'Vanessa' - 'Vanessa' Persian ironwood,Parrotia persica,R2/R3 rank within species,ICN Art. 4 (infraspecific); ICNCP 9th ed. Art. 2.1 (cultivar),a variety/form/cultivar is a member of its species
Salix alba 'Niobe' - 'Niobe' White willow,,unmapped (not_found),ITIS: no exact match,"cultivar, not indexed by ITIS"
Quercus dentata - Korean oak,,unmapped (accepted),ITIS TSN 845167,accepted taxon absent from the corpus; the build mints it
